Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GOTERM_MF_FAT,GO:0043565~sequence-specific DNA binding,28,16.27906977,3.66E-11,"CDX2, ONECUT1, SOX1, FOXA2, POU6F2, PPARG, IRX1, PAX6, HOXB13, PDX1, WT1, GATA5, GATA4, LHX4, LHX6, ETV6, FOXD3, PHOX2A, FOXL2, NKX2-8, PROX1, ASCL1, IRF8, HOPX, FOXC1, CUX1, ZFHX3, KLF4",130,607,12983,4.606817894,9.25E-09,3.08E-09,4.76E-08
SP_PIR_KEYWORDS,activator,24,13.95348837,4.77E-11,"PHOX2A, KLF6, CAMTA1, EGR2, CDX2, SOX1, ONECUT1, FOXA2, PPARG, PDX1, TP73, PLAGL1, NOTCH3, ASCL1, EYA4, GATA5, EBF3, GATA4, TFAP2A, IRF4, TCF4, ZFHX3, KLF4, FOXD3",159,520,19235,5.583454282,1.07E-08,2.15E-09,6.10E-08
GOTERM_BP_FAT,GO:0045941~positive regulation of transcription,26,15.11627907,6.22E-10,"KLF6, BMP2, FOXL2, CDX2, EGR2, FOXA2, SOX11, PPARG, PAX6, TTF1, PDX1, PROX1, TP73, WT1, PLAGL1, ASCL1, SALL4, GATA5, EBF3, GATA4, FOXC1, IRF4, TCF4, RUNX2, KLF4, FOXD3",141,564,13528,4.422916352,9.26E-07,1.85E-07,1.03E-06
GOTERM_BP_FAT,"GO:0045893~positive regulation of transcription, DNA-dependent",24,13.95348837,6.53E-10,"KLF6, FOXL2, BMP2, EGR2, CDX2, FOXA2, SOX11, PPARG, PAX6, TTF1, PDX1, PROX1, TP73, WT1, PLAGL1, ASCL1, SALL4, GATA4, FOXC1, IRF4, TCF4, RUNX2, KLF4, FOXD3",141,477,13528,4.827333958,9.73E-07,1.62E-07,1.08E-06
GOTERM_BP_FAT,GO:0051254~positive regulation of RNA metabolic process,24,13.95348837,7.68E-10,"KLF6, FOXL2, BMP2, EGR2, CDX2, FOXA2, SOX11, PPARG, PAX6, TTF1, PDX1, PROX1, TP73, WT1, PLAGL1, ASCL1, SALL4, GATA4, FOXC1, IRF4, TCF4, RUNX2, KLF4, FOXD3",141,481,13528,4.787189808,1.14E-06,1.63E-07,1.28E-06
GOTERM_BP_FAT,GO:0010628~positive regulation of gene expression,26,15.11627907,1.15E-09,"KLF6, BMP2, FOXL2, CDX2, EGR2, FOXA2, SOX11, PPARG, PAX6, TTF1, PDX1, PROX1, TP73, WT1, PLAGL1, ASCL1, SALL4, GATA5, EBF3, GATA4, FOXC1, IRF4, TCF4, RUNX2, KLF4, FOXD3",141,581,13528,4.293502277,1.71E-06,2.14E-07,1.91E-06
GOTERM_BP_FAT,GO:0001655~urogenital system development,13,7.558139535,1.39E-09,"AMH, ALDH1A2, BMP2, SFRP1, ALOX15B, SOX11, HOXB13, FOXC1, GREM1, PROX1, WT1, SLIT2, BCL2L11",141,110,13528,11.33874919,2.07E-06,2.30E-07,2.31E-06
SP_PIR_KEYWORDS,tumor suppressor,13,7.558139535,1.42E-09,"RECK, DLEC1, DAB2IP, TP73, WT1, HIC1, EPHB2, RASSF1, PLEKHO1, PYCARD, PTCH1, EXT1, BIN1",159,137,19235,11.47936464,3.20E-07,5.34E-08,1.82E-06
GOTERM_BP_FAT,GO:0048598~embryonic morphogenesis,19,11.04651163,2.71E-09,"FOXL2, FOXA2, TGFBR2, PCDH8, GAS1, PDX1, GREM1, ZIC1, PROX1, SLIT2, ALDH1A2, SALL4, GATA4, TFAP2A, PTCH1, FOXC1, EXT1, WNT7A, KLF4",141,307,13528,5.937856631,4.04E-06,4.04E-07,4.50E-06
GOTERM_BP_FAT,"GO:0045935~positive regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process",26,15.11627907,4.93E-09,"KLF6, BMP2, FOXL2, CDX2, EGR2, FOXA2, SOX11, PPARG, PAX6, TTF1, PDX1, PROX1, TP73, WT1, PLAGL1, ASCL1, SALL4, GATA5, EBF3, GATA4, FOXC1, IRF4, TCF4, RUNX2, KLF4, FOXD3",141,624,13528,3.997635934,7.34E-06,6.67E-07,8.18E-06
SP_PIR_KEYWORDS,differentiation,20,11.62790698,8.04E-09,"FOXL2, BMP2, SOX11, FHL1, PAX6, PAX5, ZIC1, CBFA2T3, SLIT2, SFRP5, NTRK3, NOTCH3, ASCL1, AMH, SFRP1, SFRP2, SFRP4, LHX6, BIN1, TWIST2",159,460,19235,5.259775772,1.81E-06,2.58E-07,1.03E-05
GOTERM_BP_FAT,GO:0035295~tube development,16,9.302325581,8.30E-09,"BMP2, FOXA2, NKX2-8, TGFBR2, HOXB13, GREM1, PROX1, SLIT2, BCL2L11, ALDH1A2, GATA4, HOPX, TFAP2A, PTCH1, FOXC1, CUX1",141,220,13528,6.977691812,1.24E-05,1.03E-06,1.38E-05
GOTERM_BP_FAT,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,20,11.62790698,8.82E-09,"KLF6, FOXL2, BMP2, EGR2, FOXA2, SOX11, PPARG, PAX6, TTF1, PDX1, WT1, PLAGL1, ASCL1, SALL4, GATA4, FOXC1, IRF4, RUNX2, KLF4, FOXD3",141,371,13528,5.172143526,1.31E-05,1.01E-06,1.46E-05
GOTERM_BP_FAT,GO:0043009~chordate embryonic development,19,11.04651163,8.86E-09,"CDX2, FOXA2, TGFBR2, PAX6, PCDH8, GAS1, PROX1, BCL2L11, ALDH1A2, SALL4, SFRP1, SFRP2, GATA4, HOPX, PKD1, TFAP2A, FOXC1, PTCH1, FOXD3",141,331,13528,5.507317178,1.32E-05,9.43E-07,1.47E-05
GOTERM_BP_FAT,GO:0045449~regulation of transcription,57,33.13953488,9.18E-09,"ZNF292, CDX2, FOXA2, POU6F2, PPARG, PAX6, PAX5, PDX1, CBFA2T3, GATA5, GATA4, TWIST2, PHOX2A, L3MBTL4, EGR2, SOX11, NKX2-8, TTF1, PROX1, EYA4, ASCL1, AMH, TFAP2A, FOXC1, CUX1, CAMTA1, SOX1, ONECUT1, IRX1, HOXB13, SOX7, WT1, HIC1, PLAGL1, AHRR, PYCARD, LHX4, LHX6, ETV6, TCF4, RUNX2, RUNX3, FOXD3, DNMT3A, KLF6, FOXL2, BMP2, TP73, NOTCH3, SALL4, EBF3, IRF8, HOPX, ID4, IRF4, ZFHX3, KLF4",141,2601,13528,2.102562844,1.37E-05,9.11E-07,1.52E-05
GOTERM_BP_FAT,GO:0051173~positive regulation of nitrogen compound metabolic process,26,15.11627907,9.29E-09,"KLF6, BMP2, FOXL2, CDX2, EGR2, FOXA2, SOX11, PPARG, PAX6, TTF1, PDX1, PROX1, TP73, WT1, PLAGL1, ASCL1, SALL4, GATA5, EBF3, GATA4, FOXC1, IRF4, TCF4, RUNX2, KLF4, FOXD3",141,644,13528,3.87348575,1.38E-05,8.65E-07,1.54E-05
GOTERM_BP_FAT,GO:0006350~transcription,50,29.06976744,9.88E-09,"ZNF292, CDX2, FOXA2, POU6F2, PPARG, PAX6, PAX5, PDX1, CBFA2T3, GATA5, GATA4, TWIST2, PHOX2A, EGR2, SOX11, NKX2-8, TTF1, PROX1, EYA4, ASCL1, TFAP2A, FOXC1, CUX1, CAMTA1, SOX1, ONECUT1, HOXB13, SOX7, WT1, HIC1, PLAGL1, AHRR, LHX4, LHX6, TCF4, ETV6, RUNX2, RUNX3, FOXD3, KLF6, FOXL2, TP73, NOTCH3, SALL4, EBF3, IRF8, HOPX, IRF4, ZFHX3, KLF4",141,2101,13528,2.283276116,1.47E-05,8.66E-07,1.64E-05
GOTERM_BP_FAT,GO:0009792~embryonic development ending in birth or egg hatching,19,11.04651163,1.02E-08,"CDX2, FOXA2, TGFBR2, PAX6, PCDH8, GAS1, PROX1, BCL2L11, ALDH1A2, SALL4, SFRP1, SFRP2, GATA4, HOPX, PKD1, TFAP2A, FOXC1, PTCH1, FOXD3",141,334,13528,5.457850257,1.52E-05,8.44E-07,1.69E-05
GOTERM_BP_FAT,GO:0010557~positive regulation of macromolecule biosynthetic process,26,15.11627907,1.26E-08,"KLF6, BMP2, FOXL2, CDX2, EGR2, FOXA2, SOX11, PPARG, PAX6, TTF1, PDX1, PROX1, TP73, WT1, PLAGL1, ASCL1, SALL4, GATA5, EBF3, GATA4, FOXC1, IRF4, TCF4, RUNX2, KLF4, FOXD3",141,654,13528,3.814258139,1.88E-05,9.90E-07,2.10E-05
SP_PIR_KEYWORDS,Homeobox,15,8.720930233,1.32E-08,"PHOX2A, CDX2, ONECUT1, POU6F2, NKX2-8, IRX1, PAX6, HOXB13, PDX1, PROX1, LHX4, HOPX, LHX6, CUX1, ZFHX3",159,242,19235,7.498440667,2.96E-06,3.70E-07,1.68E-05
GOTERM_MF_FAT,GO:0003677~DNA binding,51,29.65116279,1.89E-08,"ZNF292, CDX2, FOXA2, POU6F2, PPARG, PAX6, PAX5, PDX1, ZIC1, CBFA2T3, GATA5, GATA4, TWIST2, PHOX2A, L3MBTL4, EGR2, SOX11, NKX2-8, TTF1, PROX1, ASCL1, TFAP2A, FOXC1, CUX1, SOX1, ONECUT1, IRX1, HOXB13, SOX7, WT1, HIC1, PLAGL1, AHRR, LHX4, LHX6, TCF4, ETV6, RUNX2, RUNX3, FOXD3, DNMT3A, KLF6, FOXL2, TP73, SALL4, EBF3, IRF8, HOPX, IRF4, ZFHX3, KLF4",130,2331,12983,2.185041085,4.77E-06,1.19E-06,2.45E-05
GOTERM_BP_FAT,GO:0045165~cell fate commitment,13,7.558139535,2.04E-08,"NOTCH3, ASCL1, BMP2, ONECUT1, FOXA2, POU6F2, PPARG, PAX6, LHX6, GAS1, PROX1, RUNX2, KLF4",141,139,13528,8.973110873,3.04E-05,1.52E-06,3.39E-05
GOTERM_BP_FAT,GO:0051094~positive regulation of developmental process,17,9.88372093,2.86E-08,"BMP2, CDX2, FOXA2, KL, PPARG, TGFBR2, PAX6, PROX1, SLIT2, EPHB2, NTRK3, GATA4, HOPX, IGFBP3, ZFHX3, RUNX2, WNT7A",141,278,13528,5.867034032,4.26E-05,2.03E-06,4.75E-05
GOTERM_BP_FAT,GO:0031328~positive regulation of cellular biosynthetic process,26,15.11627907,3.15E-08,"KLF6, BMP2, FOXL2, CDX2, EGR2, FOXA2, SOX11, PPARG, PAX6, TTF1, PDX1, PROX1, TP73, WT1, PLAGL1, ASCL1, SALL4, GATA5, EBF3, GATA4, FOXC1, IRF4, TCF4, RUNX2, KLF4, FOXD3",141,685,13528,3.641642077,4.70E-05,2.13E-06,5.23E-05
GOTERM_BP_FAT,GO:0008285~negative regulation of cell proliferation,19,11.04651163,3.38E-08,"DLEC1, CAV1, BMP2, FLT3, NKX2-8, PPARG, TGFBR2, PAX6, GAS1, PDX1, PROX1, ALDH1A2, ALOX15B, BTG3, FABP3, PTCH1, IGFBP3, KLF4, RUNX3",141,361,13528,5.04964539,5.04E-05,2.19E-06,5.62E-05
GOTERM_BP_FAT,GO:0009891~positive regulation of biosynthetic process,26,15.11627907,4.18E-08,"KLF6, BMP2, FOXL2, CDX2, EGR2, FOXA2, SOX11, PPARG, PAX6, TTF1, PDX1, PROX1, TP73, WT1, PLAGL1, ASCL1, SALL4, GATA5, EBF3, GATA4, FOXC1, IRF4, TCF4, RUNX2, KLF4, FOXD3",141,695,13528,3.589244349,6.23E-05,2.60E-06,6.95E-05
GOTERM_BP_FAT,GO:0048729~tissue morphogenesis,14,8.139534884,4.38E-08,"BMP2, HOXB13, PCDH8, PDX1, GREM1, PROX1, SLIT2, ALDH1A2, TFAP2A, PTCH1, FOXC1, WNT7A, KLF4, RUNX3",141,180,13528,7.462253743,6.53E-05,2.61E-06,7.27E-05
SP_PIR_KEYWORDS,disease mutation,36,20.93023256,5.74E-08,"CAV1, OPCML, FHL1, POU6F2, PPARG, PAX6, ITGB3, PDX1, WT1, EPHB2, GSN, GATA4, LHX4, PKD1, SEMA3B, TCF4, ETV6, RUNX2, PHOX2A, GNAT1, FOXL2, EGR2, TGFBR2, GJB2, NOTCH3, AMH, SALL4, THBD, PRICKLE1, PLA2G7, TFAP2A, FOXC1, PTCH1, BIN1, EXT1, WNT7A",159,1591,19235,2.737331452,1.29E-05,1.44E-06,7.33E-05
GOTERM_BP_FAT,GO:0007423~sensory organ development,15,8.720930233,1.05E-07,"GNAT1, FOXL2, SOX1, PAX6, GAS1, ZIC1, PROX1, BCL2L11, WT1, EPHB2, ASCL1, ALDH1A2, FOXC1, CUX1, KLF4",141,229,13528,6.284493171,1.57E-04,6.03E-06,1.75E-04
GOTERM_BP_FAT,GO:0007389~pattern specification process,16,9.302325581,1.09E-07,"EGR2, CDX2, FOXA2, TGFBR2, PAX6, PCDH8, GAS1, GREM1, ZIC1, ASCL1, ALDH1A2, SFRP1, SFRP2, GATA4, PTCH1, WNT7A",141,267,13528,5.749408983,1.63E-04,6.04E-06,1.82E-04
SP_PIR_KEYWORDS,nucleus,65,37.79069767,1.85E-07,"ZNF292, CDX2, FOXA2, POU6F2, PPP2R5C, PPARG, PAX6, PAX5, PDX1, CBFA2T3, ZIC1, GATA5, GATA4, TWIST2, PHOX2A, L3MBTL4, EGR2, SOX11, NKX2-8, TTF1, PROX1, EYA4, ASCL1, DACT1, TFAP2A, FOXC1, RBM38, CUX1, BIN1, CAMTA1, SOX1, ONECUT1, FHL1, IRX1, HOXB13, SOX7, WT1, HIC1, PLAGL1, AHRR, MARVELD1, PLEKHO1, LHX4, LHX6, ETV6, TCF4, RUNX2, RUNX3, FOXD3, DNMT3A, KLF6, FOXL2, TP73, NOTCH3, SALL4, PRICKLE1, RPS6KA2, EBF3, RASSF1, IRF8, HOPX, ID4, IRF4, ZFHX3, KLF4",159,4283,19235,1.835947882,4.17E-05,4.17E-06,2.37E-04
INTERPRO,"IPR017970:Homeobox, conserved site",14,8.139534884,1.94E-07,"PHOX2A, CDX2, ONECUT1, POU6F2, NKX2-8, IRX1, PAX6, HOXB13, PDX1, LHX4, HOPX, LHX6, CUX1, ZFHX3",152,232,16659,6.613713702,6.73E-05,6.73E-05,2.65E-04
GOTERM_BP_FAT,GO:0060284~regulation of cell development,14,8.139534884,2.01E-07,"BMP2, FOXA2, PPARG, PAX6, PROX1, SLIT2, EPHB2, NTRK3, NOTCH3, ASCL1, ID4, IGFBP3, WNT7A, ZFHX3",141,205,13528,6.552222799,3.00E-04,1.07E-05,3.35E-04
INTERPRO,IPR001356:Homeobox,14,8.139534884,2.26E-07,"PHOX2A, CDX2, ONECUT1, POU6F2, NKX2-8, IRX1, PAX6, HOXB13, PDX1, LHX4, HOPX, LHX6, CUX1, ZFHX3",152,235,16659,6.529283315,7.80E-05,3.90E-05,3.08E-04
INTERPRO,IPR012287:Homeodomain-related,14,8.139534884,2.61E-07,"PHOX2A, CDX2, ONECUT1, POU6F2, NKX2-8, IRX1, PAX6, HOXB13, PDX1, LHX4, HOPX, LHX6, CUX1, ZFHX3",152,238,16659,6.446981424,9.03E-05,3.01E-05,3.56E-04
GOTERM_BP_FAT,GO:0045596~negative regulation of cell differentiation,14,8.139534884,3.68E-07,"CAV1, CDX2, FOXA2, FLT3, PPARG, PAX6, ITGB3, EPHB2, NOTCH3, HOPX, ID4, ZFHX3, KLF4, TWIST2",141,216,13528,6.218544786,5.48E-04,1.89E-05,6.11E-04
GOTERM_BP_FAT,GO:0051172~negative regulation of nitrogen compound metabolic process,21,12.20930233,3.78E-07,"DNMT3A, CAV1, BMP2, CDX2, PPARG, TTF1, PAX5, PDX1, PROX1, WT1, SALL4, IRF8, HOPX, ID4, TCF4, CUX1, ZFHX3, RUNX2, TWIST2, KLF4, FOXD3",141,519,13528,3.882097323,5.63E-04,1.88E-05,6.28E-04
GOTERM_BP_FAT,GO:0009890~negative regulation of biosynthetic process,22,12.79069767,4.29E-07,"DNMT3A, CAV1, BMP2, CDX2, PPARG, TTF1, PAX5, ITGB3, PDX1, PROX1, WT1, SALL4, IRF8, HOPX, ID4, TCF4, CUX1, ZFHX3, RUNX2, TWIST2, KLF4, FOXD3",141,573,13528,3.683685468,6.39E-04,2.06E-05,7.12E-04
GOTERM_BP_FAT,GO:0048666~neuron development,17,9.88372093,4.34E-07,"GNAT1, EGR2, SOX1, OPCML, NKX2-8, PAX6, GAS1, TP73, SLIT2, EPHB2, ASCL1, LHX4, CNTNAP2, SEMA3B, LHX6, UNC5C, RUNX3",141,339,13528,4.811314044,6.47E-04,2.02E-05,7.21E-04
GOTERM_BP_FAT,GO:0040008~regulation of growth,17,9.88372093,4.70E-07,"PPARG, TGFBR2, HOXB13, GREM1, PROX1, TP73, BCL2L11, NTRK3, ALOX15B, GATA4, HOPX, TNK1, FOXC1, PTCH1, HTRA3, SCGB3A1, IGFBP3",141,341,13528,4.783095194,7.00E-04,2.12E-05,7.80E-04
GOTERM_BP_FAT,GO:0010604~positive regulation of macromolecule metabolic process,27,15.69767442,6.14E-07,"KLF6, CAV1, BMP2, FOXL2, CDX2, EGR2, FOXA2, SOX11, PPARG, PAX6, TTF1, PDX1, PROX1, TP73, WT1, PLAGL1, ASCL1, SALL4, GATA5, EBF3, GATA4, FOXC1, IRF4, TCF4, RUNX2, KLF4, FOXD3",141,857,13528,3.022716552,9.15E-04,2.69E-05,0.001020123
GOTERM_BP_FAT,GO:0060429~epithelium development,14,8.139534884,6.49E-07,"BMP2, ONECUT1, FOXA2, PPARG, PAX6, HOXB13, PCDH8, PDX1, GREM1, PROX1, WT1, ALDH1A2, TFAP2A, PTCH1",141,227,13528,5.917205611,9.67E-04,2.76E-05,0.001077849
UP_SEQ_FEATURE,compositionally biased region:Poly-Gly,14,8.139534884,7.14E-07,"PHOX2A, CAMTA1, TMEFF1, FOXL2, SOX1, SOX11, NKX2-8, GAS1, PDX1, HIC1, SEMA3B, FOXC1, ZFHX3, RUNX3",158,286,19113,5.921527839,4.86E-04,4.86E-04,0.001072881
GOTERM_BP_FAT,"GO:0045892~negative regulation of transcription, DNA-dependent",17,9.88372093,8.33E-07,"DNMT3A, BMP2, CDX2, PPARG, PAX5, PDX1, PROX1, WT1, SALL4, IRF8, HOPX, TCF4, CUX1, ZFHX3, TWIST2, KLF4, FOXD3",141,356,13528,4.581560284,0.001240401,3.45E-05,0.001382931
GOTERM_BP_FAT,GO:0010558~negative regulation of macromolecule biosynthetic process,21,12.20930233,8.64E-07,"DNMT3A, BMP2, CDX2, PPARG, TTF1, PAX5, ITGB3, PDX1, PROX1, WT1, SALL4, IRF8, HOPX, ID4, TCF4, CUX1, ZFHX3, RUNX2, TWIST2, KLF4, FOXD3",141,547,13528,3.683379361,0.001286535,3.48E-05,0.001434399
UP_SEQ_FEATURE,compositionally biased region:Poly-Ala,16,9.302325581,8.93E-07,"DAB2IP, FOXL2, EGR2, CDX2, SOX1, GAS1, ZIC1, HIC1, ASCL1, DKK3, GATA4, FOXC1, ID4, ZFHX3, RUNX2, FOXD3",158,393,19113,4.924920282,6.08E-04,3.04E-04,0.001341206
GOTERM_BP_FAT,GO:0051253~negative regulation of RNA metabolic process,17,9.88372093,1.04E-06,"DNMT3A, BMP2, CDX2, PPARG, PAX5, PDX1, PROX1, WT1, SALL4, IRF8, HOPX, TCF4, CUX1, ZFHX3, TWIST2, KLF4, FOXD3",141,362,13528,4.50562282,0.0015462,4.07E-05,0.001724129
GOTERM_BP_FAT,GO:0001654~eye development,11,6.395348837,1.09E-06,"GNAT1, ALDH1A2, FOXL2, SOX1, PAX6, FOXC1, GAS1, PROX1, WT1, KLF4, EPHB2",141,132,13528,7.995271868,0.001620455,4.16E-05,0.001806996
GOTERM_BP_FAT,GO:0016481~negative regulation of transcription,19,11.04651163,1.19E-06,"DNMT3A, BMP2, CDX2, PPARG, PAX5, PDX1, PROX1, WT1, SALL4, IRF8, HOPX, ID4, TCF4, CUX1, ZFHX3, RUNX2, TWIST2, KLF4, FOXD3",141,459,13528,3.971507594,0.001772373,4.43E-05,0.001976551
GOTERM_BP_FAT,GO:0031327~negative regulation of cellular biosynthetic process,21,12.20930233,1.28E-06,"DNMT3A, CAV1, BMP2, CDX2, PPARG, TTF1, PAX5, PDX1, PROX1, WT1, SALL4, IRF8, HOPX, ID4, TCF4, CUX1, ZFHX3, RUNX2, TWIST2, KLF4, FOXD3",141,561,13528,3.591459021,0.001904146,4.65E-05,0.002123642
GOTERM_BP_FAT,"GO:0045934~negative regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process",20,11.62790698,1.34E-06,"DNMT3A, BMP2, CDX2, PPARG, TTF1, PAX5, PDX1, PROX1, WT1, SALL4, IRF8, HOPX, ID4, TCF4, CUX1, ZFHX3, RUNX2, TWIST2, KLF4, FOXD3",141,512,13528,3.747783688,0.001993191,4.75E-05,0.00222305
GOTERM_BP_FAT,GO:0043010~camera-type eye development,10,5.813953488,1.60E-06,"ALDH1A2, FOXL2, SOX1, PAX6, FOXC1, GAS1, PROX1, WT1, KLF4, EPHB2",141,107,13528,8.966660038,0.002377317,5.54E-05,0.00265198
GOTERM_BP_FAT,GO:0000122~negative regulation of transcription from RNA polymerase II promoter,14,8.139534884,3.81E-06,"DNMT3A, CDX2, PPARG, PAX5, PDX1, PROX1, WT1, SALL4, IRF8, HOPX, TCF4, CUX1, ZFHX3, FOXD3",141,266,13528,5.04964539,0.005663902,1.29E-04,0.006328588
